name=郑码
key=abcdefghijklmnopqrstuvwxyz
len=4
match=0
wildcard=?
assist=] mb/pinyin.txt
mkzm 手电筒 簍 籔
mkzp 稍缓
mkzr 重婚
mkzv 复发
mkzy 利好
mkzz 复出
ml 看
mlae 血型
mlaj 秧歌
mlak 重见天日
mlb 稠
mlbk 看来
mlbu 睾
mlbz 看去 血亏 制动
mlc 租 笡
mlcd 看球 血球 委内瑞拉
mlce 衈
mlcf 利用职权
mlcr 制表
mld 筒 甪
mldw 看护
mle 算
mlek 秧苗
mles 制裁
mlex 熏蒸
mlez 制药
mlfa 血本
mlfm 刮目相看
mlfo 血栓
mlfr 和睦相处
mlfs 算术
mlfu 血样
mlg 秧
mlgb 血压
mlgd 篡夺
mlgi 衃
mlgl 篅
mlgq 衆
mlgy 篹
mlgz 篡 纂
mlh 篾
mlhb 制式
mlhk 看到
mlhl 簚
mlhs 篾 衊
mlhv 看成 制成
mli 币
mlif 毛巾柜
mlii 制止
mlij 血战
mliv 看上
mliy 毛巾架
mljj 制品
mljp 簓
mljr 制图 血路
mljv 看中
mlk 制
mlka 血 笽
mlki 秧田
mlkm 篎
mlko 租界
mlkv 血水 算是
mlkw 血晕
mll 屲
mllc 算账
mllo 血肉 簤
mllq 血崩
mllr 看见
mllv 租用
mlmh 箩筐
mlmk 看重
mlml 看看 熏制 币制
mlms 看稿
mlmt 第四季度
mlmu 利用系数
mlmw 血管 看管
mlmy 氙气
mlmz 簒
mlnc 血债
mlne 看做 制做 币值
mlnm 制作 看作 租赁
mlno 租价
mlnp 制版
mlnq 血仇
mlns 篡位
mlnx 制片 籰
mlnz 看似
mlo 筫
mlob 看待
mlod 笍
mlok 算得
mlor 制衡
mlpa 租金
mlpl 算盘
mlpr 衇
mlqj 血肿
mlqk 血腥
mlqm 制胜
mlqr 血脂
mlqs 血脑 血脉
mlqy 制服
mlr 笕 筧
mlra 血印
mlrj 血象 衉
mlrk 制备
mlro 欰
mlrr 箆 科罗尔
mlrs 箩
mlrt 利用外资
mlry 血色
mlsa 制订 血证
mlse 算计
mlsf 血亲
mlsn 制剂 看齐
mlsq 看望
mlsr 血衣
mlsx 籑
mlta 看病
mlth 血库
mlto 制冷
mltr 血浆
mltv 制度
mlu 熏
mlub 衅
mlue 看懂
mlul 笑眯眯
mlum 血性
mluo 血粉
mlur 毛骨悚然
mlut 血糖
mluu 先睹为快
mluz 算数
mlva 血汗
mlvb 看法 算法 血污
mlvc 血清 血渍 看清
mlvl 血泪
mlvn 血泊
mlvs 血液 利用率
mlvw 血沉
mlw 簻
mlwd 制定 看过 看守
mlwk 先见之明
mlwm 制造
mlwn 血肉之躯
mlws 血迹
mlww 稠密
mlwx 制退
mlwz 血案
mlx 衄
mlxe 衄
mlxy 看书 血书
mly 卹
mlya 筒子
mlym 篡改 筯
mlyr 熏陶
mlys 赞助商 衂 血防
mlyv 算了
mlz 纂
mlzb 血红
mlzj 看台
mlzn 籮
mlzr 制约
mlzs 血统
mlzy 看好
mlzz 看出 血缘
mm 年
mma 笶
mmaa 千千万万
mmad 短短的
mmae 笔形
mmaf 年末
mmai 矫正
mmak 笔画
mmal 篩
mman 千秋万代
mmao 千篇一律 垂手可得
mmb 年
mmbf 手制动杆
mmbi 牧工
mmbk 年来
mmbm 生物工程 笔者
mmbr 年老 年均
mmbx 笑声
mmby 牧场 筳
mmc 笙
mmcf 氢氰酸
mmcq 年青
mmdo 失物招领
mme 箠
mmeb 箠
mmee 生气勃勃
mmek 牧草
mmel 笔直
mmes 年薪
mmfa 笔杆 笑柄 矮杆
mmfh 矮柜
mmfo 年检
mmfq 敌机
mmg 笑
mmgd 笑
mmgg 笑靥
mmgk 千秋大业
mmgy 年历
mmh 笔
mmhd 简繁转换
mmho 牧区 年轮
mmhv 年成
mmhx 年轻
mmi 筈
mmid 笮
mmim 笫
mmio 年龄
mmiy 筵
mmj 筶
mmja 牲口
mmjd 怎么回事
mmjj 手舞足蹈
mmjl 簥
mmjm 生物固氮
mmjv 年中
mmjw 簉
mmjx 重重困难
mmka 牧师
mmkb 箽
mmkd 年时 筣
mmkm 年鉴
mmko 矮小
mmks 毛利率 短篇小说 年景
mmku 牧业
mmkv 年利润
mmkx 秭归
mmlb 笔墨
mmlj 复制品
mmlo 年内
mmlr 年岁
mmm 毳
mmmb 牦牛
mmmi 千年虫
mmmj 生物制品
mmmk 年利
mmmm 年年
mmmq 笨手笨脚
mmmv 敌我
mmng 笔顺
mmnh 年代
mmnm 氢氧化物 矮秆作物
mmno 年份
mmnp 氢氧化钠
mmnr 年货
mmnv 生物化学
mmnx 年假
mmny 矫健
mmo 敌
mmob 年会
mmod 敌人
mmov 利税分流
mmpa 年后 敌后 年金
mmpn 笑貌
mmqo 笑脸
mmqu 矮胖
mmqv 年月
mmr 筅
mmrd 筅
mmrj 生物圈 笔名
mmrk 生物电
mmrl 籫
mmrp 生物链
mmrr 簃
mmrv 生物学
mmsh 笔试
mmsj 短缺商品 笔误
mmsk 笑意 敌意 牧童
mmsl 笔调 血气方刚
mmsm 年产 笑话
mmss 重利忘义
mmsx 笔译
mmsy 笔记 敌方
mmsz 牲畜 年生产能力
mmtg 年头
mmtk 年间
mmtr 年底
mmtv 年度
mmtx 秩序
mmuc 敌情 牧羊
mmug 年关
mmun 氢氧化
mmuo 篍
mmuq 年前
mmut 笑料
mmuz 笔数
mmwa 年迈 科特迪瓦
mmwh 敌军
mmwl 敌视
mmwn 生物进化
mmwo 笑容
mmwr 种种迹象表明
mmws 笔迹
mmwt 血管瘤
mmwu 气管炎
mmwy 年初
mmxp 敌我矛盾
mmxv 敌对
mmxw 积重难返
mmxx 重重叠叠
mmyf 氢氟酸
mmyh 牧民
mmyn 年费
mmyx 年限
mmz 矮
mmzf 怎么样
mmzl 笑纳
mmzo 筹委会 管委会 怎么会
mmzr 年终
mmzx 缺乏经验
mmzy 年纪 年级 怎么办
mmzz 怎么能
mn 我们
mnap 氧化亚铜
mnc 篁
mncq 篟
mnd 符
mnds 符
mndu 物价指数
mne 稗
mned 箄
mnej 等位基因
mnez 等值线
mnfn 我们相信
mnfs 氘核
mnfw 繁体字
mngw 我们大家
mnh 筏
mnhm 筏
mnhs 笩
mni 稚
mnim 筱
mnio 籅
mniv 物价上涨
mnja 符号
mnjb 科伯恩城
mnji 筗
mnjl 卸货口岸
mnjw 我们国家
mnk 穆
mnko 箯
mnmc 物价管理
mnmi 筰
mnmy 稚气
mnn 簰
mnne 簰
mno 篦
mnoa 符合
mnob 科伦坡
mnof 等价格
mnom 等价物
mnos 我们希望
mnox 物价局
mnra 氧化亚
mnrb 氧化汞
mnrf 氧化酶 篠
mnrm 氧化物
mnrp 氯化钠
mnrr 篦
mnrs 氧化剂
mnrv 氰化法
mnrw 简化字
mnsd 等价交换
mnsn 短信息
mnsu 我们认为
mnsw 籩
mntd 我们的
mntf 我们要
mntk 我们党
mntp 筹集资金
mnuu 气体燃料
mnw 憩
mnx 篌
mnxm 篌
mnxo 制片人
mnxr 租赁承包
mnxs 篗
mnxw 生僻字
mnze 租赁经营
mnzm 气体发生器
mnzr 利伯维尔
mo 失
moa 答
moaa 攵
moaf 复合板
moaj 答
moay 生命力
moaz 生命线
mob 签
moba 稀土 黏土
mobv 签
mobx 失声
mobz 失去
moc 筌
mocj 失职
mock 答理
mod 失
mode 失措
modi 失掉
modq 失势
modw 失控
moeb 剩余劳动 剩余劳动力
moel 失真
moeq 失散
moev 失落 稀薄
mofb 复合木地板
moff 失禁
mofu 复合材料
mog 稀
moga 稀奇
mogq 稀有
mogz 秉公而断
mohk 签到
moi 筕
moii 簁
moiy 篽
mojb 氛围
moji 失足
mojk 劄 箚
mojl 籥
mojw 失踪
mok 黍
moka 答题 籤
mokg 答题
mokj 积分电路
mokm 稀少
mokq 失明
moku 失业
mokw 失常
molb 签署
molg 籲
molm 失败
mols 生命财产
moly 失眠
moma 每人每天
momc 我行我素
momf 失策 筡
momk 答复 失利 失重
moml 黏稠 籂
momm 每人每年
momr 利令智昏
momw 利欲熏心
momy 知彼知己
monb 失传
monn 剩余价值
mons 失信
monu 生命攸关
moo 矬
mooi 篵
moom 籢
mooo 簽
moop 稀饭
moor 失衡 籨
moos 笅
mopc 血循环
mopm 先公后私
mopx 稀释
mopy 先人后己
moqe 黏膜
moqs 黏胶
moqu 复合肥料
morj 签名
morm 答疑
mory 失色
mos 稔
mosa 签订 签证
mosj 失误
mosk 签章
mosl 失调
mosm 答话
mosn 答谢
moso 失效
mosq 失望
moss 答辩
mosx 笒
mosy 答词
motj 答问
motv 答应
motx 失序
mouk 签单
mouy 答卷
movo 每个人
movs 黏液
movw 失学
mow 笭
mowd 签定
mowg 失宠
mowh 失窃
mowk 失神
mowo 稀罕
mowt 失实
mowy 签字
mowz 答案 失礼
mox 篒
moxb 箻
moxi 稀疏
moxj 筨 篬
moxu 失灵
moxv 答对
moy 掰
moyb 籞
moyd 秉公办事
moym 千分制
moyp 每分钟
moyr 失陷
moys 失陪
moyw 千分之
mozk 千公里
mozm 签收
mozp 每公斤
mozr 签约
mozv 签发
mp 先后
mpau 千锤百炼
mpax 重金属
mpaz 千钧一发
mpbh 稻城
mpda 千斤顶
mpek 稻草
mpfc 先锋霉素
mpfd 短兵相接
mph 籛
mphh 籛
mphm 篯
mpi 篪
mpih 篪
mpka 缺斤少两 短斤少两
mpkb 籦
mpki 稻田
mpkn 年销售
mpmf 稻穗
mpmj 稻种
mpml 稻秧 秋后算账
mpn 稻
mpnw 年销售额
mpoo 稻谷
mpry 先锋队
mps 笟
mpsy 知错就改
mpuf 稻米
mpv 笊
mpwn 税后还贷
mpwy 知错必改
mpx 箏
mpxb 箏
mpxk 籙
mpy 稃
mpya 筟
mq 复杂
mqag 秃顶
mqcr 等腰三角形
mqd 秃 凢
mqda 竼
mqdq 颓势
mqeu 颓丧
mqfn 复杂化
mqfu 复杂性
mqg 颓
mqgv 乘风破浪
mqkn 移风易俗
mqlw 筋骨
mqn 簲
mqne 簲
mqnp 看风使舵
mqoc 手风琴
mqq 笧
mqqa 笧
mqrg 颓然
mqrs 血脂高 复杂多变
mqs 笂
mqsv 牡丹江
mqsx 牡丹皮
mqtz 颓废
mqu 籐
mquk 籐
mquw 乘胜前进
mquz 籘
mqvr 生猛海鲜
mqy 筋
mqya 笂
mqym 筋
mqyx 箙
mqzf 和风细雨
mqzr 筋络
mr 先
mrad 先于
mraf 复印机
mram 气象万千
mran 复印件
mrar 先烈
mrau 黎平
mrbg 移项
mrbz 移动
mrca 称王
mrcj 称职
mrck 物理
mrcw 篷
mrd 禿
mrdj 稳操
mrdy 赞扬
mreh 移栽
mreq 先期
mrf 筿
mrfe 移植 称霸
mrfq 先机
mrga 称奇
mrgb 稳压
mrgz 称雄
mrh 舐
mrhb 移转
mrhv 赞成
mrij 等外品
mrik 稳步
mrj 笱 笿
mrja 称号
mrje 稳固
mrjj 物品
mrjm 称呼
mrjn 知名品牌
mrjt 知名度
mrjx 称叹 赞叹 气象局
mrjz 气象台
mrk 称 筍
mrka 利比里亚
mrkh 先辈
mrkk 利多弊少
mrkq 黎明
mrks 物景
mrku 物业
mrkv 先是 科尔沁
mrkw 赞赏
mrkx 稳当
mrky 箰
mrkz 筹备组
mrlb 气急败坏
mrld 赞同
mrly 赞助
mrm 赞
mrmc 先生
mrme 第比利斯
mrmj 物种 先知
mrmk 稳重 称重
mrmr 称赞
mrmy 笨鸟先飞 笷
mrn 篼
mrna 先例
mrnd 黎川
mrnf 物体
mrni 物候
mrnm 称作 物件
mrno 物价
mrny 稳健
mro 物
mrob 知名人士
mrod 笏
mroi 先行
mros 簷
mroz 赞颂 称颂
mrpa 先后
mrpe 物质
mrpr 先锋
mrpz 稳妥
mrr 移
mrra 利比亚 赞比亚
mrre 筚
mrrj 物象
mrrr 笓
mrry 物色
mrrz 篘
mrsa 物证
mrsc 物主
mrsk 称谓 称意
mrsm 赞许 物产 黎族
mrsn 称谢
mrso 移交
mrsu 称帝
mrt 氡
mrtd 笉 笗
mrtg 先头
mrtr 物资
mrua 等比数列
mrug 赞美
mruq 先前 先煎
mrut 物料
mruv 称为
mrux 称快 税务总局
mrva 赞誉
mrvb 千多元
mrvs 物流
mrw 选
mrwb 先进
mrwd 稳定
mrwj 先遣
mrwu 称道
mrwz 称心
mrx 稳
mrxb 筝
mrxe 稳居 移居
mrxh 先驱
mrxi 籎
mrxn 特急件
mrxr 篼
mry 笣
mryc 血色素
mryd 先导
mryh 移民
mryj 乘务员
mrym 物力
mryp 税务所
mryx 税务局
mrz 鹅
ms 等
msae 千辛万苦
msan 千变万化
msaq 秋毫无犯
msas 千方百计
msbf 生产规模
msbt 答记者问
msbz 辞去
mscj 辞职
msck 辞聘
mscl 舞文弄墨
mscn 生产责任制
msct 毛主席
mscz 签订契约
msdf 生产技术
msdl 簇拥
mse 辞
mseb 生产基地
msec 簱
msef 复读机
mser 簔
msew 犒劳
msfk 笔记本电脑
msfv 稿酬
msgy 生产大队
msh 笀
mshf 生产成本
msi 籠
msid 笇
msiw 种族歧视
msj 稿 箁
msjc 辞呈
msji 制高点
msjl 篙
msjn 知识化
msjt 知识库
msju 知识性
msjv 私立中学
msjy 篰
msjz 等高线
mska 生产水平
mskj 等效电路
mskr 簑
mskz 篭
msle 辞典
mslq 籯
mslz 篱
msm 簇
msma 生产第一线
msmb 生产者
msmc 生产管理
msme 籏
msmg 生产厂 秋高气爽
msmj 生产国
msmk 生产量 年产量
msmm 簇 簅
msmn 年产值
msms 生产率
msmy 生产力 生产队 篱笆 箷
msmz 生产线
msnh 丢卒保车
msnm 稿件
msnr 生产任务
mso 箤
msoe 箤
msok 生效日
msol 签订合同
mson 符离集
msoo 筊
msot 箊
msow 辞令
msoy 知识分子 等离子
msq 笐
msqd 笐
msrn 生产条件
msrz 鷑
mssf 知识产权 知识产权局 簇新
mssh 生产计划 生产方式
msss 稳产高产 种族主义
msst 生产部门
mstg 簇状
mstu 生产资料
msu 笠
msum 生产关系
msun 生产总值 生产单位
msur 和颜悦色
msvm 辞海
msvv 乄
msw 籇
mswg 籇
mswm 生产过程
mswn 知识密集型
mswo 答谢宴会
msws 甜言蜜语 篣
mswx 辞退
msx 稂
msxo 筤
msxw 特立尼达和多巴哥
msxy 辞书
msya 稿子
msyf 笔记本
msyn 稿费 等离子体
msys 生产建设 种族隔离
msz 氦
msze 生产经营 繁文缛节
mszn 籬
mszq 籝
mszr 稿纸
mszy 生产能力 年产能力
mszz 牛郎织女
mt 剩
mtag 千姿百态
mtai 剩下
mtaz 千头万绪
mtbf 简装本
mtbr 秩序井然
mtby 科教
mtch 科长
mtcr 简表
mtda 简捷
mtdc 重症护理
mtde 科技
mtdm 年度报告 程序控制
mtdy 简报
mte 科
mtel 简直
mtem 垂头丧气
mter 乘警
mtey 科协
mtfi 简朴
mtfl 科摩罗
mtfq 乘机
mtfv 简要
mtga 科研
mtgl 程度不同
mtgq 气度不凡
mtgs 重庆市
mtgx 简码
mtgy 简历
mthe 乘车
mtik 乘虚
mtja 乘号
mtjl 科员
mtk 简
mtkd 重症监护
mtkq 简明
mtkr 简易 简略
mtla 科目
mtlv 气壮山河
mtma 简短
mtmj 乘积
mtmr 简称
mtmz 科委 简繁
mtna 简便
mtnf 简体
mtnr 简化
mtoa 每况愈下
mtom 剩余
mton 简介
mtoo 乘坐
mtoy 物资公司
mtpq 乘船
mtr 乘
mtrn 先决条件
mtrs 物资部
mtrx 物资局
mtsh 年度计划
mtss 程序设计
mtsu 简谱
mtsy 简讯
mttb 简装
mttj 简况
mtto 乘座
mtts 乘凉
mtuk 简单 科普
mtux 簾
mtuz 乘数
mtva 季度末 科举
mtvb 简洁 乘法
mtvw 科学
mtwa 简写
mtwf 简述
mtwh 科室
mtwr 乘客
mtwv 气冲宵汉
mtww 等闲视之
mtx 簏
mtxj 篖
mtyk 简阳
mtyo 乘除
mtyr 科隆
mtyz 简陋
mtzh 简练
mtzw 简编
mtzz 科幻
mu 税
mua 乎
muag 秋天
muah 利益一致
muaj 千差万别
mub 衅
mubb 税款
mubd 利益均摊
mubw 特快专递
muc 氧
mucb 秋耕
mucq 牧羊狗
mud 乊
mudp 秋播
mudw 税控
muee 愁苦
mufb 税票
mufv 秋雨
muj 税
mujy 氧吧 气焰嚣张
muk 氆
muke 箪
mumj 税种
mumk 税利
muml 税制
mumy 氧气 氮气 秋季
munr 氧化 氮化
munt 物美价廉
muo 秋
muoo 我为人人人人为我
muow 秋令
muoy 秋分
mupa 税金 秋后
muq 箭
muqk 箭
muqm 手忙脚乱
muqo 秋风
muqy 氮肥
murt 秋冬
muru 氢燃料
mury 税务 秋色
musm 科普读物
musv 税率
mutg 箭头
mutw 愁闷
muu 氮
muus 秋粮
muux 氧炔
muvg 氮源
muw 愁
muwc 知情达理
muwo 愁容
muwr 税额
muwy 簩
mux 筷
muxg 筷
muya 筷子 毯子
muyd 乥 乯
muyy 箞
muz 篓
muzb 愁绪
muzm 税收 秋收 篓
muzp 簖
muzu 氟塑料
mv 科学
mvbn 科学工作者
mvbw 科学考察
mvcs 科学理论
mvcx 垂涎三尺
mvdf 科学技术 科学技术部 科学技术协会
mvdv 我的
mve 篊
mveo 篊
mvf 簿
mvfd 簿
mvgw 科学研究
mvhk 毛泽东思想
mvif 重温旧梦
mvjc 我国
mvka 生活水平
mvkb 篞
mvkw 我党
mvmh 香港特区
mvmj 香港特别行政区
mvmk 科学种田
mvmr 箲
mvms 科学知识
mvmy 生活费
mvn 箔
mvnd 科学依据
mvnj 科学仪器
mvnk 箔
mvnt 我们
mvoc 血液循环
mvof 科学分析 簗
mvoo 我从
mvov 垂涎欲滴
mvp 籓
mvpk 籓
mvqv 知法犯法
mvr 筄
mvrd 筄
mvrh 利润留成
mvrn 生活条件
mvro 簜
mvsm 移液管
mvsn 科学文化
mvsv 科学方法
mvsx 科学试验
mvsy 我方 簿记
mvtr 我将
mvts 利润率
mvuy 科学普及
mvvn 血海深仇
mvwe 每学期
mvwh 我军
mvwm 每学年
mvwu 科学性
mvww 科学家
mvwx 科学实验
mvwy 科学院
mvxh 毛泽东
mvxi 箥
mvy 筂
mvyi 筂
mvyy 笵
mvzf 科学幻想
mvzj 箈
mvzs 乔治敦
mvzv 血流如注
mvzx 生活经验
mw 管
mwad 笑容可掬
mwaf 手写板
mwam 手写稿 稍逊一筹
mwau 称之为
mwaw 千家万户
mwax 千军万马
mwb 箜
mwbb 先富起来
mwbe 知之者甚少
mwbf 制空权
mwbi 箜
mwbk 箮
mwbn 先进工作者
mwbr 筦
mwbu 先进性
mwby 管教
mwck 管理
mwcr 等边三角形
mwdf 先进技术
mwdj 管事
mwds 稳定剂
mwdu 稳定性
mwdw 先进事迹
mweb 氨基
mwem 年逾古稀
mwew 管带
mwf 筞
mwg 稼
mwgq 篴
mwhw 管辖
mwig 籧
mwix 簆
mwjr 管路
mwjw 先进国家
mwjy 簄
mwka 先进水平
mwkv 氨水
mwl 篇
mwla 篇幅
mwld 篇
mwlj 簻
mwlo 穆罕默德
mwlv 管用
mwm 秘
mwmd 管箍
mwmf 复选框
mwmj 簉
mwmk 制造业
mwml 管制
mwms 制造商
mwmz 制造出
mwne 毛遂自荐
mwni 篧
mwnn 先进集体
mwnr 氨化
mwo 簺
mwob 簺
mwom 先进人物
mwoo 先进个人
mwr 篷
mwrc 篷
mwrk 秘鲁
mwrm 簆
mwry 箢
mwrz 鴔
mwsa 笑逐颜开
mwsg 失之毫厘
mwsk 篇章
mwsr 先进设备
mwsx 秘诀 失之交臂
mwtk 特定问题委员会
mwua 年过半百
mwun 先进单位
mwv 乏
mwvv 乏
mwwg 管家
mwwh 短途运输
mwwl 失道寡助
mwws 籩
mwwu 管道
mwww 秘密
mwx 龜
mwxk 簶
mwxy 秘书
mwy 管
mwya 管子
mwym 笾
mwyy 年富力强
mwz 氨
mwzs 称心如意
mwzx 先进经验
mwzy 管好
mx 缺
mxa 簦
mxae 簈
mxau 篜
mxb 氢
mxbd 筆
mxef 氯苯
mxel 物尽其用
mxeq 愁眉苦脸
mxf 籣
mxfl 籣
mxfz 氯酸
mxgt 敌对态度
mxgw 知难而进
mxgx 愁眉不展
mxh 箼
mxhb 箼
mxi 亇
mxit 牛皮癣
mxju 簦
mxk 簡
mxkv 箓
mxl 篃
mxld 筩
mxlk 簋
mxm 笋
mxma 笋
mxmy 氯气
mxn 箫
mxnd 簫
mxno 箫
mxnr 氯化
mxns 氯仿
mxnu 簘
mxoz 秉公
mxpy 氢键
mxs 簢
mxso 簢
mxu 箳
mxue 箳
mxum 秉性
mxv 笃
mxvv 笃
mxwc 知书达理
mxwl 箒
mxy 節
mxyc 秘书长
mxyi 蠞
mxyr 秘书处
mxyu 氢弹
mxzo 氯纶
my 气
mya 季
myaa 氣
myae 季刊
myai 乞丐
myaj 气囊 笥
myak 氩
myal 秀丽 師
myau 阜平
myav 第一
myaz 智力开发
mybd 第二
mybh 阜城
mybx 第五
myby 气功
mybz 特异功能 氬
mycd 第三 气球
mycq 氰
myd 乞
mydm 秀才
mydq 气势 气垫
mydt 智力投资
mydu 氯乙烯
mydv 乞求
mydz 重力势能
mye 阜
myed 阜 第十
myeg 顊
myel 阜南
myeo 簨
myeu 特异性
myey 季节 气节
myf 氥
myfj 氥
myfk 氭
myfx 气概
mygb 气压
mygk 气泵
mygo 頧
mygs 气态
myh 氫
myhb 氫
myhd 第七 笢
myi 竾 蛗
myia 笆
myik 气虚
myiz 黎巴嫩
myj 笤 笳
myjb 气味
myjd 氤
myjl 气喘
myjr 氪
myk 氜
mykd 刏
myki 氠
mykl 氲
myl 帥
myli 帥
mylk 第四
myll 氙 峊 秀山
mylo 氝 氞
mym 秀 氕 竻
mymb 筳
myme 气缸
mymi 筵
myml 气血
mymm 利改税
mymo 气氛 知己知彼
myms 笈
mymw 气管 生力军
myn 氘
mynd 氘 氚 笰
mynf 气体
myni 气候
mynn 气魄
mynr 气化 氟化
mynw 气息
myoa 第八
myol 氳
myom 篨
myop 气馁
myos 気
myoy 氛
mype 气质
myps 箛
myqo 季风
myqy 第九
myrj 气象
myro 氱
myrp 升降舵
myrt 氡
myry 气色
myrz 鴭
mysd 乞讨
mysf 阜新
myso 第六
mysw 智力竞赛
mytl 气门
mytn 气阀
mytu 复习资料
mytv 季度
mytw 气闷
mytx 阜康
myuc 氧
myue 气愤
myur 气焰
myus 气恼
myuu 氮
myvk 气温
myvp 气派
myvr 气泡
myvs 气流
myw 追 笾
mywa 阜宁
mywh 季军
mywj 重建家园
mywl 歸
mywm 种子选手
mywz 氨 忥
myx 犍
myxb 氢
myxk 氯
myy 氖
myyk 阜阳
myym 气力 氖
myyn 氟 籊
myyq 乱了阵脚
myys 气障
myyt 篛
myyz 气孔
myz 第
myzo 氦
myzs 气孔率
mz 每
mzag 每天 私吞
mzai 私下
mzam 税收政策
mzar 系列 繁殖
mzav 每一
mzaz 千丝万缕
mzbg 每项
mzbk 重结晶
mzbr 朱红色
mzbs 委培
mzbu 黏结性
mzci 气贯长虹
mzck 繁琐
mzcl 稳如泰山
mzda 敏捷
mzdj 私事
mzdm 委托
mzdn 升级换代
mze 笲
mzeh 繁茂
mzek 私募 科纳克里
mzew 繁荣 私营
mzfa 等级森严
mzfu 每样
mzfx 每桶
mzg 篆
mzgc 每套 乱套
mzgq 私有 篆
mzha 敏感 每辆
mzj 笞 筎
mzjh 每吨
mzjl 委员
mzjr 乱跑
mzka 每日
mzkd 每时
mzkk 委曲
mzkm 毛细管
mzkq 血细胞
mzkr 每晚
mzkx 每当
mzlb 每周
mzlz 魏县
mzm 敏
mzmh 每笔
mzmj 每种
mzmk 繁重 私利
mzmm 每年
mzmo 年收入 先发制人
mzmz 短纤维
mzn 魏
mznf 繁体
mznh 系统集成
mznl 私自
mznm 每件 委任
mzno 每份
mznr 繁华 私货
mzod 每人 私人 笖
mzop 篸
mzos 系念
mzov 每个 繁衍
mzow 笼络人心
mzpd 每斤
mzpu 敏锐
mzqf 繁杂
mzqn 智能化
mzqv 每月
mzqz 胤
mzrf 每条
mzrs 箹
mzrv 繁多
mzs 么
mzsj 短线产品
mzsn 系统化
mzso 私交
mzsu 系统性
mzsz 私刻 繁育
mztk 每间
mztr 每次
mzuc 私情 物以类聚
mzuf 每米
mzup 簖
mzus 繁忙
mzuz 系数 年终总结
mzv 系
mzvp 委派
mzvv 系
mzwb 每宗
mzwg 每家
mzwm 每户
mzwr 每逢
mzww 私密
mzwz 私心
mzxn 血红蛋白
mzxs 笯
mzxz 委屈
mzy 牳
mzya 乱子
mzyn 升级版
mzyv 私了
mzyz 年级组
mzz 繁
mzzi 笜
mzzj 每台
mzzp 籪
mzzs 系统
mzzw 委婉
n 他 你
na 使
naa 亻
naaa 亻
naad 便于
naak 毁于一旦
naay 佰万
nabk 身残志坚
nabm 使者
nabn 便于工作
nacj 仰天长叹
nada 便捷
nadk 偷天换日
nadn 便携
naec 使其
naed 仠
naee 何苦
naek 侀
naer 儾
naes 催干剂
naey 使节
nafq 顺丁橡胶
nagi 何不 自下而上
nagv 何在
nah 倵
nahi 倵
nai 仃
naii 何止 佂
nain 白正体
naiw 修正案
naj 何
najk 偪
najo 使
najr 使唤
naju 侸
nak 便
naka 例题
nakd 何时
nakg 例题
nakm 俨
nako 便
nakv 便是
nakw 何尝
nakx 便当
nal 俩
nalb 侢
nali 伂
nall 俪
nals 白天黑夜
nalt 儷
nalv 使用
namb 何等
namh 便笺
namj 何种
namk 便利
namv 使我
namw 便秘
nan 佰
nank 佰
nanr 使你
nanv 使他
nanw 白正体字
nanx 例假
nany 佰亿
nao 仗
naoa 使命
naob 便会 例会
naod 使人
naoi 例行
naok 使得
naoo 俩 倆 儞
naop 便饭
naos 身无分文 仗
naow 使馆
napo 华夏银行
naqy 便服
nar 例
narg 俨然
nari 何处 例外
nark 例
naro 伤残人
nars 作恶多端
nart 便于解决
nasa 例证
nask 何谓
nasm 佤族
nasr 便衣
nass 修正主义
natb 便装
natj 何况
natl 便门
natr 便将
nau 伻
naua 伻
nauu 毁灭性
nawc 伤天害理
nawk 便宴
nawl 便宜
nawm 何必
nawq 体无完肤
nawr 使它 優
nawu 便道
naxb 使劲
naxi 倢
naxk 便函
naya 例子
nays 佤
naz 與
nazj 例如
nazo 何以
nazu 傿
nb 传
nba 臼
nbal 佳丽
nbam 低声下气
nbau 毁灭
nbay 伍万
nbaz 侤
nbb 佳
nbbd 鼭
nbbg 毁坏 僥
nbbk 传来
nbbq 毁 毀
nbby 传教 鼮
nbbz 传动
nbc 鼱
nbcq 鼱
nbd 仁
nbdk 传抄
nbdm 自动控制
nbdo 伍拾
nbdp 传播 传授
nbdq 传热
nbds 侍
nbdy 传扬
nbe 舁
nbel 传真
nbev 传世
nbey 佳节 传艺
nbfb 传票
nbff 毁林
nbfo 輿
nbfv 自动检测
nbga 传奇
nbgd 伟大
nbgl 传布
nbgs 鼣 鼳 鼵
nbgu 爨
nbha 传感
nbhh 优越感
nbho 传输 舆
nbhu 优越性
nbi 仜
nbig 化工厂
nbio 與
nbis 化工部
nbix 斅
nbj 佶
nbjd 儔
nbjk 传唱
nbjm 传呼
nbjr 传唤 仁兄
nbk 魅
nbkk 自来水 鼺
nbkl 盥
nbko 佅 黌
nbkv 俫
nbky 舅
nbkz 鼴
nbl 璺
nblc 璺
nbli 帠
nbll 儥 舋
nbln 仁者见仁
nblo 興
nblu 爂
nblz 佳县
nbm 偖
nbmb 鼮
nbmj 传种 传告 嚳
nbms 贷款利率
nbna 伍佰
nbnd 仁川
nbnh 传代
nbni 侍候
nbnm 伍仟
nbno 何去何从
nbny 伍亿
nbo 舉
nbob 舉 壆
nbod 传人 伕 臾
nbof 轝
nbog 佳肴 礜 礐
nbok 僣 澩
nbol 覺 嶨 儧
