name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
update=1
user=pinyin.usr
assist=mb/yong.txt 2
liangduan 两端
liangdui 两对
liangduo 量多 良多 两朵
liange 连个
liangenbaqi 连根拔起
liangfang 两方 良方
liangfangmian 两方面
liangfen 两份 梁份
liangfenfa 两分法
liangfeng 凉风 两封
lianggan 晾干
liangge 两个
lianggen 两根
lianggewenming 两个文明
lianggewenmingjianshe 两个文明建设
lianggu 两股 粮谷
liangguan 两关
liangguang 亮光 两广
liangguansuo 粮管所
liangguo 两国
liangguoguanxi 两国关系
liangguojian 两国间
lianghaixiangquanquqiqing 两害相权取其轻
lianghang 两行
lianghao 良好
lianghu 两湖
lianghua 量化
lianghuai 两淮
lianghuang 粮荒
lianghui 两回 两会
lianghuishi 两回事
liangji 良机 两级 两极 两季
liangjia 两家 粮价
liangjian 两件 两间
liangjiao 两脚
liangjie 谅解
liangjifenhua 两极分化
liangjin 两斤
liangjingjing 亮晶晶
liangjinshidai 两晋时代
liangjiu 良久
liangju 两句 量具
liangjun 两军
liangjushi 两居室
liangke 两颗 两可
liangkong 量控
liangkouzi 两口子
liangku 良苦 粮库
liangkuai 两块 凉快
liangkuan 两款 粮款
liangle 凉了 亮了
lianglei 两类 两肋
liangleichadao 两肋插刀
liangli 亮丽 靓丽 两利 量力
liangliang 两辆
liangliangqiangqiang 踉踉跄跄
lianglierxing 量力而行
lianglu 两路
lianglun 两轮
liangma 两码
liangmao 两毛
liangmashi 两码事
liangmazishi 两码子事
liangmei 两枚
liangmi 两米
liangmian 两面 粮棉
liangmianpai 两面派
liangmiansandao 两面三刀
liangmiao 两秒
liangmin 良民
liangming 两名
liangnan 两难
liangnian 两年
liangnianqian 两年前
liangnong 粮农
liangnv 两女 靓女
liangong 练功
liangpai 两排 两派 亮牌
liangpang 两旁
liangpeng 凉棚
liangpi 两批 两匹 凉皮
liangpian 两篇 两片
liangpiao 粮票
liangping 两瓶
liangqi 两期 亮起 凉气 两起 两栖
liangqian 两千
liangqiang 踉跄
liangqichao 梁启超
liangqinzemuerqi 良禽择木而栖
liangqu 两区
liangquan 两全 两圈
liangquanqimei 两全其美
liangren 两人
liangri 两日
liangruweichu 量入为出
liangsanci 两三次
liangsange 两三个
liangse 亮色
liangshai 晾晒
liangshan 梁山 凉山
liangshanbo 梁山伯 梁山泊
liangshen 量身
liangsheng 两声 两省
liangshenzhongshenzhi 两审终审制
liangshi 粮食 良师
liangshiju 粮食局
liangshiyiyou 良师益友
liangshou 两手
liangshoukongkong 两手空空
liangshu 辆数
liangshuang 凉爽
liangshui 凉水 两睡
liangshuming 梁漱溟
liangsongshidai 两宋时代
liangsousou 凉飕飕
liangsui 两岁
liangtai 两台 凉台
liangtang 亮堂
liangtao 两套
liangtian 两天 良田
liangtiao 两条
liangtiaoluxian 两条路线
liangtiaotuizoulu 两条腿走路
liangticaiyi 量体裁衣
liangting 凉亭
liangtong 量筒
liangtou 两头
liangtui 两腿
lianguan 连贯
lianguoduan 连锅端
liangwan 两万
liangwei 两位
liangweishu 两位数
liangxi 凉席
liangxia 两下
liangxian 量限
liangxiang 两项 亮相 两厢 粮饷
liangxiangqingyuan 两相情愿
liangxiao 良宵
liangxiaofeijunzi 量小非君子
liangxiaowucai 两小无猜
liangxiazi 两下子
liangxie 凉鞋
liangxin 良心
liangxing 良性 两性 量刑
liangxingxunhuan 良性循环
liangxiuqingfeng 两袖清风
liangyan 两眼 亮眼
liangyang 两样
liangyao 良药
liangyaokukou 良药苦口
liangyi 凉意 良医 两翼
liangyong 两用
liangyongrencai 两用人才
liangyou 粮油 良友
liangyoubuqi 良莠不齐
liangyuan 两院 良缘
liangyue 两月
liangze 两则
liangzhan 两站 粮站
liangzhang 两张
liangzhe 两者 亮着
liangzhezhijian 两者之间
liangzhi 两只 良知 两支 量值
liangzhong 两种 良种
liangzhou 两周
liangzhuo 两桌
liangzi 量子
liangzici 两字词
liangzilixue 量子力学
liangzu 两组
liangzuo 两座
lianhang 联行
lianhao 练好 连号
lianhe 联合
lianhegongbao 联合公报
lianheguo 联合国
lianhehui 联合会
lianheng 连横
lianheti 联合体
lianheyanxi 联合演习
lianhezuozhan 联合作战
lianhong 脸红
lianhongbozicu 脸红脖子粗
lianhu 联户
lianhua 莲花
lianhuan 连环 联欢
lianhuanhua 连环画
lianhuanhui 联欢会
lianhuanwanhui 联欢晚会
lianhuqu 莲湖区
lianji 联机
lianjia 廉价 脸颊
lianjian 练剑 联建
lianjiang 连江 廉江
lianjianqingre 恋奸情热
lianjiao 炼焦
lianjiazi 练家子
lianjie 连接 联结 廉洁 链接
lianjiefenggong 廉洁奉公
lianjiegongdao 廉洁公道
lianjiezilv 廉洁自律
lianjin 连襟
lianjiu 练就
lianjun 联军
liankandubukan 连看都不看
liankao 联考
lianke 脸可
liankong 脸孔
lianle 练了
lianlei 连累
lianlian 连连 练练 涟涟
lianlianbushe 恋恋不舍
lianluo 联络
lianluochu 联络处
lianluoxiaozu 联络小组
lianluoyuan 联络员
lianluozhan 联络站
lianmang 连忙
lianmei 联袂
lianmeng 联盟
lianmian 连绵 脸面
lianmianbuduan 连绵不断
lianmin 怜悯
lianming 联名 廉明
lianneng 廉能
liannian 连年
liannianbuduan 连年不断
lianou 莲藕
lianpai 连排
lianpang 脸庞
lianpen 脸盆
lianpeng 莲蓬
lianpi 脸皮
lianpian 连篇 联翩
lianpianleidu 连篇累牍
lianping 连平
lianpo 廉颇
lianpolaoyi 廉颇老矣
lianpu 脸谱
lianqing 恋情
lianqiu 练球 链球
lianre 脸热
lianren 恋人 连人 连任
lianri 连日
lianrong 莲蓉
lianru 炼乳
liansai 联赛
lianse 脸色
lianshan 连山
lianshang 脸上 连上
lianshe 联社
lianshen 联审
liansheng 连胜 连声
lianshi 链式
lianshou 联手
lianshu 联数
lianshui 涟水
lianshuo 连说
liansuo 连锁
liansuodian 连锁店
liansuofanying 连锁反应
liansuogongneng 连锁功能
liansuoshangdian 连锁商店
lianta 连他
liantan 练摊
liantian 连天
liantiao 链条
liantie 炼铁
liantong 联通 连通 连同
lianwang 联网
lianwo 连我
lianwu 练武
lianwuchang 练武场
lianxi 联系 练习 联席 怜惜
lianxian 连线
lianxiang 联想
lianxiangdoubuganxiang 连想都不敢想
lianxiangxiyu 怜香惜玉
lianxianzuoye 连线作业
lianxiao 联销 脸笑
lianxiben 练习本
lianxidian 联系点
lianxidianhua 联系电话
lianxifangshi 联系方式
lianxihuiyi 联席会议
lianxin 连心 莲心
lianxiqunzhong 联系群众
lianxiren 联系人
lianxishiji 联系实际
lianxiti 练习题
lianxiyewu 联系业务
lianxu 连续
lianxubuduan 连续不断
lianxuju 连续剧
lianxuxing 连续性
lianxuzuozhan 连续作战
lianye 连夜
lianyi 涟漪 联谊
lianyihui 联谊会
lianyin 联姻
lianying 联营
lianyiqun 连衣裙
lianyiwang 联谊网
lianyong 连用
lianyou 炼油
lianyuan 涟源
lianyun 联运
lianyungang 连云港
lianzai 连载 联在
lianzao 连遭
lianzhan 联展 恋战
lianzhang 连长
lianzhanlianjie 连战连捷
lianzhe 连着
lianzheng 廉政
lianzhengjianshe 廉政建设
lianzhi 炼制
lianzhu 连珠
lianzhupao 连珠炮
lianzi 莲子 帘子 练字
lianzu 联组
lianzufang 廉租房
lianzuo 连作
liao 料 聊 疗 了 辽 僚 廖 寥 镣 潦 撩 撂 缭 燎 寮 嘹 钌 獠 鹩 蓼 尥 瞭 蹽
liaobo 撩拨
liaobude 了不得
liaobuqi 了不起
liaocao 潦草
liaocheng 疗程
liaodai 辽代
liaodan 料单
liaodao 料到 潦倒
liaode 了得 聊得
liaoding 料定
liaodong 辽东
liaodongbandao 辽东半岛
liaoduan 了断
liaofa 疗法
liaofei 料费
liaohao 料耗
liaohe 辽河
liaoji 料及
liaojian 料件
liaojie 了解 了结
liaojieqingkuang 了解情况
liaojing 料净
liaojiu 料酒
liaoju 了局
liaokai 撩开
liaokao 镣铐
liaokuan 料款
liaokuo 辽阔
liaole 聊了
liaoli 料理
liaoliang 嘹亮
liaoliao 聊聊 寥寥
liaoliaocaocao 潦潦草草
liaoliaokeshu 寥寥可数
liaoliaowuji 寥寥无几
liaoning 辽宁
liaoningsheng 辽宁省
liaoqi 撩起
liaoqiao 料峭
liaoque 了却
liaoran 了然
liaoranyuxiong 了然于胸
liaorao 缭绕
liaoren 撩人
liaoruzhizhang 了如指掌
liaoshang 疗伤
liaoshangzhitong 疗伤止痛
liaoshengyuwu 聊胜于无
liaoshi 了事
liaoshirushen 料事如神
liaotian 聊天
liaotianshi 聊天室
liaotiaozi 撂挑子
liaowang 了望
liaowangta 了望塔
liaowangtai 了望台
liaowu 了无
liaoxi 辽西
liaoxia 撂下
liaoxiang 料想
liaoxiao 疗效
liaoyang 疗养
liaoyangyuan 疗养院
liaoyiliao 聊一聊
liaoyintui 撩阴腿
liaoyuan 燎原
liaozai 撂在
liaozhai 聊斋
liaozhaizhiyi 聊斋志异
liaozhe 聊着
liaozhong 辽中
liaozi 料子
liaren 俩人
liayan 俩眼
liba 篱笆
libai 礼拜 李白
libaier 礼拜二
libailiu 礼拜六
libairi 礼拜日
libaisan 礼拜三
libaisi 礼拜四
libaitian 礼拜天
libaiwu 礼拜五
libaiyi 礼拜一
libanen 黎巴嫩
libei 立碑
libengyuehuai 礼崩乐坏
libi 利弊 礼毕 力臂
libian 里边
libie 离别
libiliya 利比里亚
libingmoma 厉兵秣马
libiya 利比亚
libu 吏部 礼部
libucongxin 力不从心
libukai 离不开
licai 理财 理睬
licha 利差
lichang 立场 力场
liche 利车
lichen 力陈
licheng 历程 里程
lichengbei 里程碑
lichu 理出
lichun 立春
lici 历次
licu 力促
lidai 历代
lidaitaojiang 李代桃僵
lidang 理当
lidangweigong 立党为公
lidao 力道 离岛
lidawubi 力大无比
lidawuqiong 力大无穷
lidayubi 利大于弊
lide 里的
lidekai 离得开
lidi 立地
lidianchi 锂电池
liding 立定
lidong 立冬
lidu 力度 丽都
lidui 离队
liduorenbuguai 礼多人不怪
lie 列 烈 猎 裂 劣 咧 趔 冽 洌 捩 埒 躐 鬣
liebao 猎豹
liebiquzhuliangbi 劣币驱逐良币
liebian 裂变
liebiao 列表
liebing 列兵
lieche 列车
liecheng 列成
liecheyuan 列车员
liechezhang 列车长
liechu 列出
liedao 列岛
liedeng 劣等
liedu 烈度
liedui 列队
lieen 列恩
liefeng 裂缝
liegenxing 劣根性
lieguo 列国
liehen 裂痕
liehu 猎户
liehua 裂化
liehuo 烈火 劣货
liehuojianzhenjin 烈火见真金
lieji 劣迹
liejie 裂解
liejiu 烈酒
lieju 列举
liejunshu 烈军属
liekai 裂开 咧开
liekou 裂口
lielie 猎猎
lielu 猎鹿
liema 烈马 劣马
liening 列宁
lieqi 猎奇
lieqiang 列强 猎枪
lieqie 趔趄
liequ 猎取
liequan 猎犬
lier 里尔
lieren 猎人
lieri 烈日
lieru 列入
liesha 猎杀
lieshi 烈士 劣势
lieshilingyuan 烈士陵园
lieshimu 烈士墓
lieshou 猎手
lieshu 烈属
liewei 列为
liewen 裂纹
liewu 猎物
liexi 列席
liexiang 列项
liexidaibiao 列席代表
liexing 烈性
lieyan 烈焰 猎艳
lieyin 列印
lieyou 列有
lieyu 列于
liezeng 列增
liezhang 列账
liezhe 咧着
liezhi 劣质 列支
liezhidunshideng 列支敦士登
liezhong 劣种
liezhuan 列传
liezui 咧嘴
liezuo 列作
lifa 立法 理发 历法
lidadian 理发店
lifang 立方
lifanglimi 立方厘米
lifangmi 立方米
lifangti 立方体
lifangyingchi 立方英尺
lifu 礼服
ligaishui 利改税
ligang 离岗 李纲
liganjianying 立杆见影
ligen 里根
ligong 理工 立功
ligongke 理工科
ligongshoujiang 立功受奖
ligongshoujiangzhe 立功受奖者
ligongxibao 立功喜报
liguang 理光 李广
ligui 厉鬼 李鬼
liguo 立国 利国
liguolimin 利国利民
liguozhiben 立国之本
lihai 厉害 利害
lihao 利好
lihe 离合 礼盒
lihei 黧黑
lihongzhang 李鸿章
lihua 梨花 礼花 理化 丽华
lihuadaiyu 梨花带雨
lihui 理会 例会
lihun 离婚
lihunzheng 离婚证
lihuo 理货
liji 立即 利己 痢疾
lijia 离家 里加
lijiachuzou 离家出走
lijian 利剑 离间
lijiang 漓江 丽江
lijiao 立交 礼教 立脚
lijiaodian 立脚点
lijiaoqiao 立交桥
lijie 理解 礼节 历届
lijieli 理解力
lijin 礼金 历尽
lijing 历经 离境 离京 李靖
lijingpandao 离经叛道
lijingtuzhi 励精图治
lijiumijian 历久弥坚
lijiumixin 历久弥新
lijizhuyi 利己主义
liju 力矩 立据
lijuan 立卷
likai 离开
likaiguo 离开过
like 立刻 理科 力克
likong 利空
likui 理亏 李逵
lila 里拉
lilai 历来
lile 离了
lilian 历练
liliang 力量
liliao 理疗
lilin 莅临
liling 醴陵
lilingzhihun 利令智昏
liliwaiwai 里里外外
lilizaimu 历历在目
lilizi 锂离子
lilizidianchi 锂离子电池
lilong 里弄
lilun 理论 立论
lilunjia 理论家
lilunjichu 理论基础
lilunjie 理论界
lilunlianxishiji 理论联系实际
lilunshang 理论上
liluntixi 理论体系
lilunwenti 理论问题
lilunyanjiu 理论研究
lilunyiju 理论依据
lilunzhidao 理论指导
liluo 利落
lilv 利率
lima 立马 利马
limao 礼貌
limi 厘米
limian 里面 立面
limin 利民
liminbaixing 黎民百姓
liming 黎明
lin 林 临 淋 邻 琳 霖 麟 凛 吝 鳞 磷 躏 赁 嶙 辚 檩 遴 粼 蔺 懔 拎 瞵 啉 膦 廪 粦 璘
lina 李娜 丽娜 莉娜 厉娜
linan 罹难 临安 磷铵
linba 淋巴
linbajie 淋巴结
linbang 邻邦
linbiao 林彪
linbie 临别
linbing 淋病
lincang 临沧
linchan 临产 林产
linchang 林场 临场
linchanpin 林产品
lincheng 临城
linchuan 临川
linchuang 临床
linchuangshiyan 临床试验
lincizhibi 鳞次栉比
lincun 邻村 临村
lindaiyu 林黛玉
lindao 临到
lindi 林地
lindian 林甸
linfei 磷肥
linfen 临汾
linfeng 林枫
linfuchanpin 林副产品
ling 领 令 另 灵 零 龄 凌 玲 铃 陵 岭 伶 聆 囹 棱 菱 翎 苓 瓴 棂 绫 〇 呤 柃 鲮 酃 泠 羚 蛉 磷 鸰 崚 祾
lingai 令爱
lingan 另按
lingao 临高
lingban 领班
lingbao 领报 灵宝 另报
lingbi 灵璧
lingbian 灵便
lingbing 领兵
lingbo 领拨
lingbujian 零部件
lingcao 灵草
lingce 另册
lingche 灵车
lingchen 凌晨
lingchi 凌迟
lingchu 领出
lingchuan 灵川 陵川
lingcun 领存
lingcunzhengqu 零存整取
lingdai 领带
lingdan 零蛋
lingdang 铃铛
lingdangbielun 另当别论
lingdanmiaoyao 灵丹妙药
lingdao 领导 领到
lingdaoceng 领导层
lingdaoli 领导力
lingdaoquan 领导权
lingdaoren 领导人
lingdaozhe 领导者
lingdasuiqiao 零打碎敲
lingde 领得
lingdetupo 零的突破
lingdi 领地
lingdian 零点
lingding 伶仃 另定
lingdong 灵动 岭东
lingdu 零度
lingdui 领队
lingfa 另发 领发
lingfu 另附 另付
linggan 灵感
linggao 另告
linggei 另给
linggong 零工
linggou 另购 领购
lingguang 灵光
linghai 领海
linghang 领航
lingheboyi 零和博弈
linghua 领花
linghuan 另换
linghuaqian 零花钱
linghui 领会 领回
linghun 灵魂
linghuo 灵活 零活
linghuojidong 灵活机动
linghuojingying 灵活经营
linghuoxing 灵活性
lingji 零基
lingjia 另加 凌驾
lingjian 零件 令箭 另见
lingjiang 领奖 另将
lingjiangtai 领奖台
lingjiao 领教
lingjie 领结
lingjin 领巾
lingjiu 灵柩
lingjiyidong 灵机一动
lingju 另据
lingjuan 绫绢
lingjubaodao 另据报道
lingjuli 零距离
lingjun 领军
lingkai 另开
lingkong 凌空 领空
lingkou 领口
lingkuan 领款
linglang 令郎
linglei 另类
lingli 伶俐 凌厉 另立
lingliao 领料
lingling 零陵
linglingsuisui 零零碎碎
linglingxingxing 零零星星
linglong 玲珑
linglu 领路
lingluan 凌乱
linglue 领略
lingluo 零落
lingluochouduan 绫罗绸缎
lingmai 零卖
lingmin 灵敏
lingmindu 灵敏度
lingmougaojiu 另谋高就
lingmu 陵墓 铃木
lingna 另纳
lingnan 岭南
lingni 令你
lingnin 令您
lingpai 令牌
lingpao 领跑
lingpeijian 零配件
lingpixijing 另辟蹊径
lingqi 灵气 令其 另起
lingqian 零钱
lingqiao 灵巧
lingqiaosuida 零敲碎打
lingqing 领情
lingqinggaoming 另请高明
lingqiu 灵丘
lingqu 领取
lingren 令人
lingrenfazhi 令人发指
lingrengandong 令人感动
lingrenguwu 令人鼓舞
lingrenjingtan 令人惊叹
lingrenmanyi 令人满意
lingrennanwang 令人难忘
lingrennanyizhixin 令人难以置信
lingrenqijie 令人气结
lingrenshengwei 令人生畏
lingrenshenwang 令人神往
lingrenxinfu 令人信服
lingri 另日
lingru 凌辱 领入
lingsan 零散
lingshan 灵山
lingshe 另设
lingsheng 铃声
lingshi 零食 领事 零时
lingshiguan 领事馆
lingshou 零售 另收 领受
lingshouban 零售版
lingshoue 零售额
lingshoujia 零售价
lingshoujiage 零售价格
lingshoushang 零售商
lingshouwujia 零售物价
lingshouye 零售业
lingshouzonge 零售总额
lingshui 陵水
lingsuan 另算
lingsui 零碎
lingta 令他 令她
lingtai 灵台
lingtang 灵堂 令堂
lingting 聆听
lingtinghui 聆听会
lingtong 灵通
lingtou 领头 零头
lingtouyan 领头雁
lingtouyang 领头羊
lingtu 领土
lingtui 领退
lingtuwanzheng 领土完整
lingtuwenti 领土问题
linguang 磷光
lingui 临桂
linguo 邻国
lingwai 另外
lingwo 令我
lingwu 领悟 灵武
lingxi 灵犀
lingxia 零下
lingxian 领先 领衔
lingxiandiwei 领先地位
lingxiang 铃响
lingxing 另行 零星 菱形
lingxinganpai 另行安排
lingxingguiding 另行规定
lingxingjinzhi 令行禁止
lingxingtongzhi 另行通知
lingxiu 领袖
lingxiurenwu 领袖人物
lingxuan 另选
lingyan 灵验
lingyang 领养 羚羊
lingyanxiangkan 另眼相看
lingyao 灵药
lingyi 另一 另议 灵异
lingyiban 另一半
lingyibian 另一边
lingyifan 另一番
lingyifangmian 另一方面
lingyige 另一个
lingyilun 另一轮
lingyinsi 灵隐寺
lingyizhong 另一种
lingyong 领用 零用 另用
lingyou 另有 领有
lingyu 领域 囹圄
lingyuan 陵园 凌源
lingyun 凌云
lingza 零杂
lingzengzhang 零增长
lingzhang 领章
lingzhao 领照
lingzhe 领着
lingzheng 领证
lingzhi 灵芝 灵智
lingzhu 领主
lingzi 领子
lingzun 令尊
lingzuo 另作
linhai 林海 临海 邻海
linhe 临河
linhuo 磷火
lini 离你
linian 理念 历年
linin 离您
linjia 邻家
linjian 林间 临建
linjie 临街 临界 邻接
linjiedian 临界点
linjiewendu 临界温度
linjin 临近 邻近
linjiyingbian 临机应变
linju 邻居
linken 林肯
linkou 林口
linkuang 磷矿
linlang 琳琅
linlangmanmu 琳琅满目
linli 林立 淋漓 邻里
linlie 凛冽
linlijinzhi 淋漓尽致
linmen 临门
linmo 临摹
linmu 林木
linna 林娜 琳娜
linnong 林农
linqing 临清
linqu 林区
linquan 临泉
linran 凛然
linse 吝啬
linsheng 邻省
linshi 临时 淋湿
linshibaofojiao 临时抱佛脚
linshidaiban 临时代办
linshigong 临时工
linshizhengfu 临时政府
linshu 临沭
linshui 邻水
linsi 临死
linsuan 磷酸
lintan 临潭
lintao 临洮
lintongqu 临潼区
lintou 临头
linwei 临危
linweibuju 临危不惧
linwu 临武
linxi 吝惜
linxia 临夏
linxian 邻县
linxiang 临湘
linxing 临行
linxuan 遴选
linxun 磷峋
linye 林业
linyebumen 林业部门
linyi 临沂
linyin 林荫
linyindao 林荫道
linying 临颖
linyu 淋浴
linze 临泽
linzhan 临战
linzhang 临漳
linzhanzhuangtai 临战状态
linzhe 拎着
linzhen 临阵
linzhi 磷脂
linzhong 林中 临终
linzhou 林周
linzi 林子
linzou 临走
linzun 林遵
linzuo 邻座
liou 力偶
lipaizhongyi 力排众议
lipao 礼炮
lipei 理赔
lipin 礼品
liping 黎平
lipu 离谱
liqi 力气 离奇 离弃 利器
liqian 利钱
liqing 理清 沥青
liqingqingyizhong 礼轻情义重
liqingrenyizhong 礼轻人意重
liqingzhao 李清照
liqiqiefu 利齐切夫
liqiu 力求 立秋
liqu 离去 理屈
liquan 礼泉
liquciqiong 理屈词穷
liqunsuoju 离群索居
lirang 礼让
liren 历任 离任 利刃 丽人
lirong 理容
liru 例如
lirun 利润
lirunlv 利润率
lisan 离散
lisao 离骚
lise 里色
liseao 里色奥
lishan 历山
lishangwanglai 礼尚往来
lishangyin 李商隐
lishenchushi 立身处世
lisheng 厉声
lishi 历史 理事 历时 砾石 力士 立时 立誓
lishiguan 历史观
lishiguo 理事国
lishihui 理事会
lishishiqi 历史时期
lishixing 历史性
lishixue 历史学
lishixuejia 历史学家
lishizhang 理事长
lishu 隶属 历书 隶书 梨树 礼数
lishui 利税 丽水 沥水 溧水
lishuifenliu 利税分流
lishun 理顺
lishuyu 隶属于
lisi 李四
lisite 李斯特
lisu 傈僳
lisuo 利索
lisuodangran 理所当然
lisuonengji 力所能及
lisuoyingdang 理所应当
lita 理他 离他
litang 礼堂 理塘
litaowan 立陶宛
liti 立体 例题 离题
litigan 立体感
litijiaocha 立体交叉
liting 力挺
litisheng 立体声
litongwaiguo 里通外国
litou 里头
litu 力图
lituixiu 离退休
liu 流 六 柳 留 刘 溜 瘤 榴 浏 硫 琉 陆 遛 馏 镏 骝 绺 锍 旒 熘 鎏 鹨 镠
liuan 六安
liuanhuaming 柳暗花明
liuanhuamingyouyicun 柳暗花明又一村
liuba 留坝
liubai 六百
liubaiwan 六百万
liubang 刘邦
liubei 刘备
liubi 流弊
liubing 溜冰
liubingchang 溜冰场
liubocheng 刘伯承
liubu 留步
liubuzhu 留不住
liuchan 流产
liuchang 流畅
liucheng 流程
liuchu 流出 留出 六畜
liuchuan 流传
liuchuanyushi 流传与世
liuci 六次
liucuan 流窜
liucuanfan 流窜犯
liucun 留存
liuda 遛达
liudai 留待
liudan 流弹
liudanpao 榴弹炮
liudaolunhui 六道轮回
liude 流的
liudi 留底
liudian 六点 留点
liudianzhong 六点钟
liudiao 溜掉
liudong 流动
liudonghongqi 流动红旗
liudongrenkou 流动人口
liudongxing 流动性
liudongzhan 流动站
liudongzijin 流动资金
liudu 流毒
liuduan 六段
liufa 留法
liufang 流放 流芳
liufangqiangu 流芳千古
liufei 刘斐
liugan 流感
liuge 六个
liugei 留给
liugeyue 六个月
liugongdao 刘公岛
liuguangyicai 流光溢彩
liugui 留归
liuguo 六国
liuhai 刘海 六害
liuhan 流汗
liuhao 六号 溜号
liuhe 六合
liuhecai 六合彩
liuhoulu 留后路
liuhua 留话 硫化
liuhuang 硫磺
liuhui 流回
liuji 六级 留级 刘基
liujiang 柳江
liujie 留解
liujin 流尽 溜进
liuke 留客
liukong 留空
liukou 流寇
liukoushui 流口水
liulan 浏览
liulang 流浪
liulanqi 浏览器
liule 留了 流了 溜了
liulei 流泪
liuli 琉璃 流利 留利 流离
liulian 留恋 流连
liuliang 流量
liulianwangfan 流连忘返
liuliliuqi 流里流气
liulin 柳林
liulishisuo 流离失所
liulou 六楼
liulu 流露 六路
liuluo 流落
liumang 流氓
liumei 留美
liumeiti 流媒体
liumin 流民
liuming 留名
liuni 留你
liunian 六年 留念 流年
liunianji 六年级
liupai 流派
liupanshui 六盘水
liuqian 六千
liuqianwan 六千万
liuqin 六亲
liuqinburen 六亲不认
liuqing 留情
liuqiu 琉球
liuren 留任
liuri 六日 留日
liuru 流入
liusha 流沙
liushang 流觞
liushen 留神
liushenwuzhu 六神无主
liushi 流失 流逝 流食 六时 六十
liushiba 六十八
liushier 六十二
liushijiu 六十九
liushiliu 六十六
liushiniandai 六十年代
liushiqi 六十七
liushisan 六十三
liushisi 六十四
liushiwan 六十万
liushiwu 六十五
liushiyi 六十一
liushou 留守
liushouchu 留守处
liushu 柳树
liushui 流水
liushuixian 流水线
liushuizhang 流水账
liushuizuoye 流水作业
liusu 流速 留宿
liusuan 硫酸
liusui 六岁
liutang 流淌
liutao 六韬
liuti 流体
liutian 六天
liutiao 六条
liutong 流通
liutonggu 流通股
liutongliang 流通量
liutonglingyu 流通领域
liutongqudao 流通渠道
liutongshouduan 流通手段
liuwan 遛弯 六万
liuwang 流亡 流往
liuwei 六位
liuxia 留下 流下
liuxiahui 柳下惠
liuxialai 留下来 流下来
liuxian 流线
liuxiang 流向 刘湘 刘向
liuxianxing 流线型
liuxiao 留校
liuxiaochakan 留校察看
liuxin 留心
liuxing 流行 流星
liuxingbang 流行榜
liuxingbing 流行病
liuxinggequ 流行歌曲
liuxingse 流行色
liuxingyinyue 流行音乐
liuxingyu 流行语
liuxiu 刘秀
liuxu 柳絮
liuxue 留学 流血
liuxuesheng 留学生
liuxueshijian 流血事件
liuxupaima 溜须拍马
liuyan 留言 流言
liuyanban 留言板 留言版
liuyanbu 留言簿
liuyanfeiyu 流言蜚语
liuyang 留洋
liuyi 留意 六亿
liuyiertongjie 六一儿童节
liuyiguojiertongjie 六一国际儿童节
liuying 留影
liuyishou 留一手
liuyong 留用 流用
liuyou 留有
liuyouyudi 留有余地
liuyu 流域 流于
liuyue 六月
liuyuefen 六月份
liuyuxingshi 流于形式
liuzai 留在
liuzhe 留着 流着
liuzhi 留置 留职 流质 刘峙
liuzhitingxin 留职停薪
liuzhou 柳州
liuzhoushi 柳州市
liuzhu 留住
liuzhuan 流转
liuzou 溜走
liuzu 留足
liuzuo 留作
liwai 例外 里外
liwaibushiren 里外不是人
liwaili 里外里
liwankuanglan 力挽狂澜
liwanqu 荔湾区
liwei 立威
liwu 礼物 里屋
liwupu 利物浦
lixi 利息 离析 离席
lixia 立下 立夏
lixian 离线 历险 离弦
lixiang 理想 立项
lixiangbeijing 离乡背井
lixianji 历险记
lixianzhijian 离弦之箭
lixiao 离校
lixin 离心 立新
lixing 理性 例行 厉行 力行
lixinggongshi 例行公事
lixingjieyue 厉行节约
lixinji 离心机
lixinlide 离心离德
lixiu 离休
lixiuganbu 离休干部
lixue 力学 理学
lixueyuan 理学院
liya 力压
liyi 利益 立意 礼仪 离异
liyilian 利益链
liying 理应
liyingwaihe 里应外合
liyizhu 立遗嘱
liyong 利用
liyonglv 利用率
liyou 理由 利诱 立有
liyu 立于 利于 利欲 礼遇 鲤鱼
liyuan 梨园
liyudating 鲤鱼打挺
liyue 立约
liyuereneilu 里约热内卢
lizan 礼赞
lizhe 立着
lizheng 力争 例证 立正
lizhengshangyou 力争上游
lizhi 理智 立志 荔枝 离职 励志 丽质 吏治
lizhiqizhuang 理直气壮
lizhu 力主
lizhuang 粒状
lizi 例子 栗子 粒子 梨子 离子
lizicheng 李自成
lizitang 离子烫
lizu 立足 黎族
lizudian 立足点
lizuo 力作
lizuweiwen 立足未稳
lizuyu 立足于
lo 咯
long 龙 聋 隆 笼 胧 拢 咙 垄 珑 窿 陇 癃 茏 栊 泷 垅 砻 眬
longchuan 龙船
longdeng 龙灯
longdong 隆冬
longduan 垄断
longduanziben 垄断资本
longfeifengwu 龙飞凤舞
longfeng 龙凤
longfengchengxiang 龙凤呈祥
longgangqu 龙岗区
longgong 龙宫 拢共
longgou 垄沟
longgu 龙骨
longhu 龙虎
longhua 龙华 隆化
longhui 隆回
longjing 龙井
longjingcha 龙井茶
longjuanfeng 龙卷风
longkou 龙口
longlin 隆林
longlong 隆隆
longluo 笼络
longluorenxin 笼络人心
longmai 龙脉
longmeier 隆美尔
longmen 龙门
longmenshiku 龙门石窟
longnan 陇南
